#兼容所有拼音类型的公共简码库	
gj	感觉	根据	关键
jd	简单	觉得	绝对
ky	可以	开业	科研
my	没有	美元	免疫
zj	自己	最近	资金
ad	啊对	阿杜	挨打
aj	安静	按键	案件
ap	安排	爱普	阿婆
aq	安全	爱情	按期
at	艾特	奥体	凹凸
av	按照	安装	澳洲
ay	哎呀	哎呦	阿姨
bb	并不	不必	宝贝
bd	不但	报道	不到
bp	不怕	被迫	奔跑
bq	并且	表情	版权
br	不如	别人	比如
bu	不是	表示	不少
bt	不同	拜托	不太
bv	帮助	不止	标准
bw	并未	本文	把握
cd	菜单	承担	程度
cm	聪明	层面	村民
cn	才能	处女	承诺
cq	从前	此前	采取
ct	从头	辞退	传统
cw	错误	从未	财务
cx	才行	操心	程序
cy	参与	采用	产业
cz	存在	操作	创造
dd	得到	到底	等待
df	地方	对方	对付
dn	电脑	都能	当年
dt	动态	地铁	代替
eb	而不	耳边	二本
ec	二次	恩赐
ed	额度	耳朵	而当
ef	二分	而非	耳房
eh	而后	诶嘿	恶化
ek	而况	儿科	耳科
el	而来	二楼	恶劣
ep	恶评	耳屏
eq	而且	二期	恩情
es	二三	耳塞	饿死
et	儿童	额头	二套
eu	而是	二手	恩师
ev	而这	二战	二者
ew	额外	而我	俄乌
ex	恶心	儿媳	儿戏
ey	而已	而言	鳄鱼
ez	儿子	恩泽	二组
fc	讽刺	风采	发财
fd	反对	非但	辅导
fe	反而	份额	飞蛾
fi	非常	分成	发出
fk	疯狂	分开	飞快
fl	分离	服了	分类
fm	方面	发明	繁忙
fn	烦恼	肥牛	愤怒
fp	分配	发票	肥胖
fq	放弃	夫妻	风情
fr	否认	烦人	凡人
fs	发送	放松	反思
ft	发帖	法庭	繁体
fv	反正	分钟	反之
fw	范围	氛围	服务
fx	发现	分析	分享
fy	反应	翻译	反映
gc	刚才	光彩	工厂
gi	过程	观察	给出
gm	干嘛	购买	感冒
gn	功能	观念	过年
gq	过去	歌曲	过期
gt	共同	沟通	高铁
gx	关系	更新	共享
hc	何曾	缓存	很惨
hi	合成	何尝	好吃
hm	还没	后面	好吗
hn	还能	很难	湖南
hq	好奇	回去	获取
ht	话题	后天	合同
hx	好像	好想	还行
ic	尺寸	纯粹	出错
im	沉默	重码	充满
in	常年	承诺	车内
iq	重启	出去	重庆
it	冲突	传统	春天
iw	成为	称为	宠物
ix	出现	程序	撤销
iz	创作	创造	车子
ja	骄傲	煎熬	教案
jb	基本	句柄	脚本
je	就是	进而	金额
jf	积分	减肥	缴费
jg	结果	结构	价格
jh	几乎	计划	机会
jj	解决	渐渐	拒绝
jk	尽快	接口	均可
jl	经历	进来	决裂
jv	简直	矩阵	纠正
jz	就在	讲座	节奏
ki	看成	课程	咔嚓
km	科目	昆明	快慢
kn	可能	困难	苦恼
kq	况且	开启	口腔
kt	开头	开通	空调
kx	开心	科学	可惜
lf	浪费	两份	凉粉
md	目的	卖点	骂道
mp	冒泡	门票	名片
mr	默认	没人	每人
ms	貌似	民俗	门锁
mt	明天	每天	模特
mv	某种	命中	每周
mw	末尾	名为	灭亡
nb	内部	牛逼	年报
np	哪怕	奶瓶	女仆
nw	内外	牛蛙	挪威
pd	判断	碰到	片段
pe	配额	普洱	赔额
pq	抛弃	脾气	贫穷
pr	骗人	烹饪	旁人
ps	配送	菩萨	破碎
pt	普通	平台	拼图
pv	配置	拍照	批准
pw	品味	喷雾	排位
qa	亲爱	窃案	全案
qb	全部	区别	岂不
qe	全额	企鹅	却额
qf	区分	气氛	缺乏
qg	奇怪	全国	去过
qh	切换	青海	侵害
qj	全局	期间	清洁
qk	情况	缺口	切开
ql	起来	强烈	潜力
qv	其中	群众	确诊
qz	亲自	圈子	茄子
ra	热爱	仁爱	扰啊
rc	如此	揉搓	人才
rd	认得	热点	认定
rg	如果	人工	日光
rl	人类	日历	热量
rm	人们	人民	入门
rn	仍能	容纳	日内
rq	日期	热情	人气
rt	如同	如题	认同
rw	认为	人物	任务
rx	如下	日线	人心
ry	容易	燃油	肉眼
rz	仍在	融资	日子
sc	算错	三次	色彩
sd	速度	赛道	酸度
um	说明	上面	什么
sn	肆虐	思念	三年
sq	索取	四驱	诉求
sw	所谓	思维	三维
sx	思想	私信	搜寻
sy	所以	三亚	瘙痒
sz	私自	所在	色泽
td	他的	听到	太多
tf	头发	颓废	台风
tn	太难	头脑	推拿
tq	提前	天气	太强
tt	天天	偷偷	疼痛
tw	台湾	太晚	跳舞
uc	手册	上次	收藏
un	少年	少女	十年
uq	事情	上去	社区
uu	试试	少数	是啥
ut	试图	身体	沙滩
ux	实现	剩下	上下
vc	至此	这次	榨菜
vm	这么	证明	周末
vn	只能	智能	中年
vq	之前	正确	追求
vt	状态	折腾	主体
vx	这下	只想	这些
vy	这样	只有	主要
wb	外部	未必	微博
wc	卧槽	未曾	晚餐
wd	我的	文档	稳定
we	万恶	玩儿	娃儿
wi	完成	未尝	维持
wm	我们	外面	完美
wn	无奈	未能	万能
wp	网盘	物品	尾盘
wq	完全	委屈	温泉
wr	微软	围绕	污染
wu	为啥	外甥	文殊
wt	问题	舞台	外套
wv	位置	为止	未知
ww	呜呜	微微	娃娃
wx	微信	微笑	微小
wy	唯一	我也	外语
xa	西安	相爱	悬案
xb	想必	性别	新版
xe	邪恶	限额	险恶
xf	想法	相反	消费
xg	修改	习惯	性格
xh	喜欢	幸好	学会
xj	新建	新疆	胸襟
xk	辛苦	幸亏	笑哭
xl	下来	序列	旋律
xt	系统	夏天	协调
xv	性质	旋转	学者
xz	现在	选择	下载
yj	已经	意见	眼睛
yc	因此	一次	洋葱
yd	一定	有点	运动
yf	一份	一分	衣服
yg	一个	应该	缘故
yl	以来	原来	有了
ym	要么	页面	郁闷
yq	以前	与其	尤其
yv	一直	一种	一致
yw	因为	以为	业务
yx	一下	邮箱	一些
zc	自从	再次	总裁
zd	自动	自带	做到
zm	怎么	在吗	责骂
zn	怎能	在哪	早年
zq	增强	暂且	足球
zt	昨天	总统	字体
zw	作为	座位	最为
zx	在线	咨询	最新
zy	怎样	作用	左右
ab	啊不	安保	阿爸
ac	艾草	凹槽	按错
ae	挨饿	埃尔
af	安抚	安防	暗访
ag	爱国	阿哥	按个
hg	很高	换个	昂贵
ak	安康	拗口	按克
al	案例	安利	阿拉
am	暧昧	按摩	傲慢
ar	爱人	黯然
as	阿三	暗算	懊丧
au	暗示	按时	傲视
aw	安慰	安稳	爱玩
ax	安心	爱心	爱惜
az	案子	暗自	矮子
be	不饿	匾额	报恩
bs	不是	比赛	不算
bx	必须	不想	表现
by	不要	不用	表演
bz	并在	不在	不再
cb	从不	惨败	苍白
ck	参考	仓库	词库
cl	从来	材料	测量
cp	测评	脆皮	藏品
db	代表	对比	短板
dl	到了	多了	地理
na	嗯啊	哪啊
ea	恩爱	儿啊
ej	耳机	二级
em	噩梦	峨眉	耳目
oe	偶尔	喔喔
fb	方便	发布	分别
gb	改变	根本	更不
gp	股票	公平	攻破
hb	回报	湖北	红包
hp	好评	和平	害怕
ib	成本	初步	常备
ip	产品	川普	长篇
jc	精彩	聚餐	就此
jo	奇偶	解耦	骄傲
js	就算	计算	角色
jt	今天	交通	家庭
jw	今晚	极为	键位
kb	恐怖	空白	快报
kp	靠谱	恐怕	卡片
ml	美丽	魅力	命令
mq	目前	明确	母亲
mx	明显	某些	描写
ny	那样	你也	纽约
pl	评论	频率	漂亮
pu	拍摄	配上	排水
px	培训	排序	评选
py	朋友	拼音	攀岩
qc	其次	奇才	全程
qd	确定	缺点	前端
qo	群殴	求偶	全欧
qw	千万	切勿	青蛙
rb	日本	若不	热播
rk	人口	认可	仍可
rp	人品	肉片	任凭
sb	随便	散布	送别
sk	思考	松开	散开
sl	算了	森林	塑料
sm	什么	扫描	说明
sp	碎片	索赔	赛跑
st	三天	酸痛	洒脱
tb	特别	淘宝	同步
tl	讨论	铁路	调料
tx	同学	提醒	退休
ub	识别	设备	上班
up	视频	水平	刷屏
us	事实	是啥	深色
vb	准备	直播	装备
vp	照片	追捧	帐篷
wk	胃口	外壳	唯恐
wl	为了	网络	无论
ws	为啥	网速	哇塞
wz	文字	王子	外在
xc	下次	瑕疵	相册
xd	行动	现代	相当
xo	西欧	小欧	信鸥
xw	希望	新闻	下午
xy	需要	小艺	信用
yn	云南	越南	也难
yp	影片	用品	一片
zb	嘴巴	左边	走吧
zk	最快	走开	宰客
zl	资料	做了	走了
zp	作品	早盘	赠品
ah	爱好	啊哈	懊悔
hr	黑人	环绕	坏人
hs	还算	黑色	划算
hz	好在	火灾	汇总
aa	矮矮	暗暗
ai	熬成	哀愁	安插
an	按钮	安宁
bh	不会	疤痕	崩坏
bg	不管	报告	不够
bi	变成	播出	奔驰
bj	比较	毕竟	并将
bk	包括	本科	并可
bn	不能	保暖	别扭
bc	保存	白菜	并存
bf	并非	比方	本分
bl	本来	比例	别离
ba	办案	悲哀	备案
bm	编码	别忙	部门
bo	北欧	波折
cc	从此	此次	层次
cg	错过	采购	餐馆
ch	才会	策划	才华
ci	存储	财产	此处
cu	测试	从事	促使
cv	财政	从中	参照
cj	曾经	促进	刺激
cs	厕所	彩色	沧桑
ce	刺耳	侧耳	策尔
cf	存放	此番	册封
cr	曾任	残忍	存入
ca	惨案	错爱	草案
da	答案	档案	对岸
de	第二	大额	定额
di	调查	电池	单纯
dq	定期	当前	短期
dr	当然	等人	多人
ds	打算	屌丝	堵塞
dw	单位	地位	到位
dy	电影	导演	大于
dc	多次	对此	代词
dg	大概	代购	都给
du	但是	都是	倒是
dh	电话	带回	多好
dj	动机	代驾	跌价
dx	东西	大小	短线
dp	点评	灯泡	短篇
dv	地址	对账	跌至
dz	都在	动作	短暂
dk	对抗	点开	断开
dm	都没	店面	对面
do	对偶	斗殴
eg	儿歌	恶搞	恩公
eh	嗯哼
ei	而成	恩仇	二层
er	恩人	二人
en	儿女	恩呢
fa	方案	法案	翻案
ff	发放	纷纷	反腐
fg	风格	分割	法规
fh	发货	返回	复核
fj	佛教	发觉	否决
fz	否则	放在	发作
fu	防守	佛山	费时
gl	过来	给了	咖喱
gv	广州	改正	过着
ga	港澳	高傲	公安
gd	搞定	挂断	跟单
ge	感恩	高额	宫娥
gg	刚刚	各个	改革
gk	高考	观看	滚开
gr	果然	个人	给人
gz	跟踪	挂在	鸽子
gf	股份	广泛	跟风
gh	更好	刚好	光滑
gs	跟随	光速	该死
gw	各位	官网	岗位
gu	跟上	光说	故事
gy	关于	过于	根源
hd	很多	厚道	黑点
hf	恢复	哈佛	后方
hh	很好	哈哈	嘿嘿
hl	回来	后来	换了
ha	黑暗	好啊	海岸
he	好饿	花儿	厚恩
hu	何时	还是	很少
hy	还有	还要	好友
hj	很久	海军	汉奸
hv	或者	活着	很重
hk	很快	昏聩	好看
hw	华为	货物	很晚
ia	宠爱	尘埃	查案
ig	成功	常规	穿过
ih	窗户	插画	车祸
ii	超出	拆除	传出
il	出来	处理	车辆
iv	查找	垂直	车展
ie	超额	嫦娥	丑恶
