美元	美元 $ 💵 💲
美刀	美刀 $
星号	星号 *️⃣
星号键	星号键 *️⃣
零	零 0️⃣
一	一 1️⃣
二	二 2️⃣
三	三 3️⃣
四	四 4️⃣
五	五 5️⃣
六	六 6️⃣
七	七 7️⃣
八	八 8️⃣
九	九 9️⃣
港元	港元 HK$
港币	港币 HK$
澳门元	澳门元 MOP$
澳门币	澳门币 MOP$
葡币	葡币 MOP$
新加坡元	新加坡元 S$
新加坡币	新加坡币 S$
英镑	英镑 £ 💷
镑	镑 £
copyright	copyright ©
版权	版权 ©
版权符号	版权符号 ©
registered	registered ®
注册	注册 ®
注册商标	注册商标 ®
注册商标符号	注册商标符号 ®
注册标记	注册标记 ®
泰铢	泰铢 ฿
铢	铢 ฿
俩叹号	俩叹号 ‼️
双叹号	双叹号 ‼️
双惊叹号	双惊叹号 ‼️
双感叹号	双感叹号 ‼️
叹号问号	叹号问号 ⁉️
叹问号	叹问号 ⁉️
惊问	惊问 ⁉️
感叹号问号	感叹号问号 ⁉️
疑问惊叹	疑问惊叹 ⁉️
疑问惊叹号	疑问惊叹号 ⁉️
卢比	卢比 ₨
欧元	欧元 € 💶
印度卢比	印度卢比 ₹
比特币	比特币 ₿
TM	TM ™
商标	商标 ™
商标符号	商标符号 ™
info	info ℹ️
information	information ℹ️
资讯	资讯 ℹ️
左右	左右 ↔️
左右箭头	左右箭头 ↔️
上下	上下 ↕️
上下箭头	上下箭头 ↕️
左上	左上 ↖️
左上箭头	左上箭头 ↖️
右上	右上 ↗️
右上箭头	右上箭头 ↗️
右下	右下 ↘️
右下箭头	右下箭头 ↘️
左下	左下 ↙️
左下箭头	左下箭头 ↙️
回车	回车 ↩️
手表	手表 ⌚
表	表 ⌚
沙漏	沙漏 ⌛ ⏳
电脑键盘	电脑键盘 ⌨️
键盘	键盘 ⌨️
弹出	弹出 ⏏️
弹出按钮	弹出按钮 ⏏️
推出	推出 ⏏️
推出按钮	推出按钮 ⏏️
快进	快进 ⏩
快进符号	快进符号 ⏩
快退	快退 ⏪
快退符号	快退符号 ⏪
快上	快上 ⏫
快下	快下 ⏬
下一首	下一首 ⏭️
上一首	上一首 ⏮️
播放暂停	播放暂停 ⏯️
闹表	闹表 ⏰
闹钟	闹钟 ⏰
秒表	秒表 ⏱
计时器	计时器 ⏱
定时器	定时器 ⏲
暂停	暂停 ⏸️
停止	停止 ⏹️
停止播放	停止播放 ⏹️
开始录像	开始录像 ⏺️
开始录音	开始录音 ⏺️
录像	录像 ⏺️
录像按钮	录像按钮 ⏺️
录音	录音 ⏺️
录音按钮	录音按钮 ⏺️
小方块	小方块 ▪ ▫
小正方形	小正方形 ▪ ▫
白色小方块	白色小方块 ▪
黑色小方块	黑色小方块 ▫
开始	开始 ▶️
开始播放	开始播放 ▶️
播放	播放 ▶️
倒退	倒退 ◀️
倒退按钮	倒退按钮 ◀️
黑色中方块	黑色中方块 ◻
黑色中等方块	黑色中等方块 ◻
中方块	中方块 ◼ ◻
中正方形	中正方形 ◼ ◻
中等方块	中等方块 ◼ ◻
中等正方形	中等正方形 ◼ ◻
白色中方块	白色中方块 ◼
白色中等方块	白色中等方块 ◼
黑色大方块	黑色大方块 ◽
大方块	大方块 ◾ ◽
大正方形	大正方形 ◾ ◽
白色大方块	白色大方块 ◾
太阳	太阳 ☀️ 🌞
日	日 ☀️
晴天	晴天 ☀️
cloud	cloud ☁️
云	云 ☁️
云彩	云彩 ☁️
云朵	云朵 ☁️
天气	天气 ☁️
伞状	伞状 ☂️
打伞	打伞 ☂️ ☔
撑伞	撑伞 ☂️ ☔
哈雷	哈雷 ☄️
哈雷彗星	哈雷彗星 ☄️
彗星	彗星 ☄️
固定电话	固定电话 ☎️
固话	固话 ☎️
座机	座机 ☎️
电话	电话 ☎️
勾选	勾选 ☑️ ✔
复选	复选 ☑️
复选按钮	复选按钮 ☑️
复选框	复选框 ☑️
打对钩	打对钩 ☑️
打钩	打钩 ☑️
按钮	按钮 ☑️ 🔘
咖啡	咖啡 ☕
咖啡杯	咖啡杯 ☕
喝咖啡	喝咖啡 ☕
三叶草	三叶草 ☘
一个	一个 ☝️
第一	第一 ☝️
食指	食指 ☝️
放射性	放射性 ☢️
核辐射	核辐射 ☢️
电离辐射	电离辐射 ☢️
辐射	辐射 ☢️
生化危机	生化危机 ☣️
生物危害	生物危害 ☣️
生物性危害	生物性危害 ☣️
瘟疫公司	瘟疫公司 ☣️
东正教	东正教 ☦️
东正教十字架	东正教十字架 ☦️
星月	星月 ☪️
peace	peace ☮️
世界和平	世界和平 ☮️
和平	和平 ☮️
和平标志	和平标志 ☮️
和平符号	和平符号 ☮️
太极	太极 ☯️
阴阳	阴阳 ☯️
法轮	法轮 ☸️
可爱	可爱 ☺
女	女 ♀
女性	女性 ♀
雌性	雌性 ♀
男	男 ♂
男性	男性 ♂
雄性	雄性 ♂
白羊座	白羊座 ♈
金牛座	金牛座 ♉
双子座	双子座 ♊
巨蟹座	巨蟹座 ♋
狮子座	狮子座 ♌
处女座	处女座 ♍
天秤座	天秤座 ♎
天蝎座	天蝎座 ♏
射手座	射手座 ♐
摩羯座	摩羯座 ♑
水瓶座	水瓶座 ♒
双鱼座	双鱼座 ♓
国际象棋	国际象棋 ♟
国际象棋兵	国际象棋兵 ♟
扑克	扑克 ♠️ ♥️ ♦️ ♣️ 🃏 🎴
黑桃	黑桃 ♠️
梅花	梅花 ♣️
草花	草花 ♣️
心	心 ♥️
爱	爱 ♥️
红心	红心 ♥️
红桃	红桃 ♥️
方块	方块 ♦️ ⬛ ⬜
方板	方板 ♦️
方片	方片 ♦️
休息	休息 ♨️
温泉	温泉 ♨️
回收	回收 ♻️
循环	循环 ♻️
循环再生	循环再生 ♻️
循环利用	循环利用 ♻️
环保	环保 ♻️
无障碍设施	无障碍设施 ♿
轮椅标志	轮椅标志 ♿
锤子与镐	锤子与镐 ⚒️
锤子和镐	锤子和镐 ⚒️
船锚	船锚 ⚓
锚	锚 ⚓
fight	fight ⚔️
剑	剑 ⚔️
剑刃	剑刃 ⚔️
双剑	双剑 ⚔️
双剑交叉	双剑交叉 ⚔️
开始战斗	开始战斗 ⚔️
开战	开战 ⚔️
战斗	战斗 ⚔️
武器	武器 ⚔️
医疗标志	医疗标志 ⚕
医疗符号	医疗符号 ⚕
单蛇之杖	单蛇之杖 ⚕
单蛇杖	单蛇杖 ⚕
蛇杖	蛇杖 ⚕
阿斯克勒庇俄斯	阿斯克勒庇俄斯 ⚕
天平	天平 ⚖️
蒸馏器	蒸馏器 ⚗️
齿轮	齿轮 ⚙️
atom	atom ⚛️
原子	原子 ⚛️
原子符号	原子符号 ⚛️
百合花	百合花 ⚜️
百合花饰	百合花饰 ⚜️
鸢尾花	鸢尾花 ⚜️
危险	危险 ⚠️
注意	注意 ⚠️
警告	警告 ⚠️
预警	预警 ⚠️
闪电	闪电 ⚡
高压电	高压电 ⚡
变性	变性 ⚧
跨性别	跨性别 ⚧ 🏳️‍⚧️
跨性别符号	跨性别符号 ⚧
元宵	元宵 ⚪
小圆点	小圆点 ⚪
小圆点儿	小圆点儿 ⚪
小白点	小白点 ⚪
小白点儿	小白点儿 ⚪
汤圆	汤圆 ⚪
白子	白子 ⚪
白棋	白棋 ⚪
白点	白点 ⚪
白色	白色 ⚪ ⬜
雪球	雪球 ⚪
围棋	围棋 ⚫ ⚪
圆形	圆形 ⚫ ⚪
小黑点	小黑点 ⚫
小黑点儿	小黑点儿 ⚫
黑子	黑子 ⚫
黑棋	黑棋 ⚫
黑点	黑点 ⚫
黑白棋	黑白棋 ⚫ ⚪
黑色	黑色 ⚫ ⬛
棺材	棺材 ⚰️
灵柩	灵柩 ⚰️
奉金瓮	奉金瓮 ⚱️
金塔	金塔 ⚱️
金瓮	金瓮 ⚱️
骨坛	骨坛 ⚱️
骨灰盒	骨灰盒 ⚱️
骨灰缸	骨灰缸 ⚱️
骨瓮	骨瓮 ⚱️
黄金瓮	黄金瓮 ⚱️
英式足球	英式足球 ⚽
足球	足球 ⚽
棒球	棒球 ⚾
堆雪人	堆雪人 ⛄
雪人	雪人 ⛄
乌云蔽日	乌云蔽日 ⛅
多云	多云 ⛅
阴天	阴天 ⛅
下大雨	下大雨 ⛈️
大雨	大雨 ⛈️
雷阵雨	雷阵雨 ⛈️
蛇夫座	蛇夫座 ⛎
铁镐	铁镐 ⛏️
锄头	锄头 ⛏️
鹤嘴锄	鹤嘴锄 ⛏️
十字头盔	十字头盔 ⛑️
十字安全帽	十字安全帽 ⛑️
安全帽	安全帽 ⛑️
白十字头盔	白十字头盔 ⛑️
白十字安全帽	白十字安全帽 ⛑️
铁链	铁链 ⛓️
铁链子	铁链子 ⛓️
链子	链子 ⛓️
链条	链条 ⛓️
锁链	锁链 ⛓️
断链	断链 ⛓️‍💥
禁止通行	禁止通行 ⛔
禁止驶入	禁止驶入 ⛔
请勿入内	请勿入内 ⛔
请勿驶入	请勿驶入 ⛔
日本神社	日本神社 ⛩️
神社	神社 ⛩️
圣堂	圣堂 ⛪
山	山 ⛰️
山峰	山峰 ⛰️
山脉	山脉 ⛰️
山顶	山顶 ⛰️
遮阳伞	遮阳伞 ⛱️
公园	公园 ⛲
喷泉	喷泉 ⛲
高尔夫球洞	高尔夫球洞 ⛳
渡船	渡船 ⛴
渡轮	渡轮 ⛴
轮渡	轮渡 ⛴
帆船	帆船 ⛵
滑雪	滑雪 ⛷️
滑雪的人	滑雪的人 ⛷️
溜冰	溜冰 ⛸
溜冰鞋	溜冰鞋 ⛸
滑冰	滑冰 ⛸
女子篮球	女子篮球 ⛹️‍♀️
女生打篮球	女生打篮球 ⛹️‍♀️
女生玩篮球	女生玩篮球 ⛹️‍♀️
女篮球运动员	女篮球运动员 ⛹️‍♀️
打篮球	打篮球 ⛹️‍♂️ ⛹️‍♀️
玩篮球	玩篮球 ⛹️‍♂️ ⛹️‍♀️
男子篮球	男子篮球 ⛹️‍♂️
男生打篮球	男生打篮球 ⛹️‍♂️
男生玩篮球	男生玩篮球 ⛹️‍♂️
男篮球运动员	男篮球运动员 ⛹️‍♂️
